asset_id,creator,tool,model,created_at,prompt_or_source,reference_files,manual_edits,license,approved_by
pp_style_board,OpenAI Codex,built-in image generation,gpt-image-2,2026-08-06,assets-src/pixel-panic/style/STYLE_BOARD_PROMPT.md,,"Nearest-neighbor resize to 1920x1080; used only as art-direction source",Project-owned generated asset,pending
phase_1_procedural_assets,OpenAI Codex,Python Pillow procedural drawing,n/a,2026-08-06,"PIXEL PANIC Phase 1 work-order palette and dimensions",pp_style_board.png,"Hand-authored pixel primitives; exact size and alpha validation",Project-owned original code output,pending
pp_stage_01_master,OpenAI Codex,built-in image generation,gpt-image-2,2026-08-06,assets-src/pixel-panic/world/reference/PHASE_2_IMAGEGEN_PROMPTS.md,pp_style_board.png,"40:17 center crop and nearest-neighbor resize to 1280x544",Project-owned generated asset,pending
pp_buildings_board,OpenAI Codex,built-in image generation,gpt-image-2,2026-08-06,assets-src/pixel-panic/world/reference/PHASE_2_IMAGEGEN_PROMPTS.md,pp_style_board.png,"Chroma-key removal; hard alpha; exact-size sprite extraction",Project-owned generated asset,pending
pp_props_board,OpenAI Codex,built-in image generation,gpt-image-2,2026-08-06,assets-src/pixel-panic/world/reference/PHASE_2_IMAGEGEN_PROMPTS.md,pp_style_board.png,"Chroma-key removal; hard alpha; exact-size sprite extraction",Project-owned generated asset,pending
phase_2_world_assets,OpenAI Codex,Python Pillow post-processing,n/a,2026-08-06,scripts/generate_phase2_assets.py,"pp_stage_01_master.png; pp_buildings_board_alpha.png; pp_props_board_alpha.png","Nearest-neighbor fitting; pixel-grid alignment; exact frame sheets; map/collision/spawn JSON",Project-owned original code output,pending
pp_phase3_robot_board,OpenAI Codex,built-in image generation,gpt-image-2,2026-08-06,assets-src/pixel-panic/ui/reference/PHASE_3_4_IMAGEGEN_PROMPTS.md,"pp_style_board.png; pp_stage_01_master.png","Chroma-key removal; reviewed 3x6 pose grid; exact-size sheet extraction",Project-owned generated asset,pending
pp_phase3_npc_cat_board,OpenAI Codex,built-in image generation,gpt-image-2,2026-08-06,assets-src/pixel-panic/ui/reference/PHASE_3_4_IMAGEGEN_PROMPTS.md,pp_stage_01_master.png,"Chroma-key removal; reviewed 2x5 character grid; exact-size sheet extraction",Project-owned generated asset,pending
pp_phase3_vfx_board,OpenAI Codex,built-in image generation,gpt-image-2,2026-08-06,assets-src/pixel-panic/ui/reference/PHASE_3_4_IMAGEGEN_PROMPTS.md,pp_style_board.png,"Chroma-key removal; reviewed 4x4 effect grid; animated frame assembly",Project-owned generated asset,pending
pp_phase4_title_master,OpenAI Codex,built-in image generation,gpt-image-2,2026-08-06,assets-src/pixel-panic/ui/reference/PHASE_3_4_IMAGEGEN_PROMPTS.md,"pp_style_board.png; pp_stage_01_master.png","16:9 crop; 1280x720 resize; WebP quality 82",Project-owned generated asset,pending
pp_phase4_success_master,OpenAI Codex,built-in image generation and precise edit,gpt-image-2,2026-08-06,assets-src/pixel-panic/ui/reference/PHASE_3_4_IMAGEGEN_PROMPTS.md,pp_phase4_title_master.png,"Duplicate AQUA replaced with BUDDY; 16:9 crop; WebP quality 82",Project-owned generated asset,pending
pp_phase4_fail_master,OpenAI Codex,built-in image generation,gpt-image-2,2026-08-06,assets-src/pixel-panic/ui/reference/PHASE_3_4_IMAGEGEN_PROMPTS.md,pp_phase4_title_master.png,"16:9 crop; 1280x720 resize; WebP quality 82",Project-owned generated asset,pending
phase_3_4_runtime_assets,OpenAI Codex,Python Pillow post-processing,n/a,2026-08-06,scripts/generate_phase3_4_assets.py,"pp_phase3_robot_board_alpha.png; pp_phase3_npc_cat_board_alpha.png; pp_phase3_vfx_board_alpha.png; Phase 4 screen masters","Hard alpha; exact-size sheets; manifest metadata; WebP optimization; legacy placeholder removal",Project-owned original code output,pending
